artist,album,albumId
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Chopin: Piano Concertos Nos. 1 & 2,301
James Levine,Mascagni: Cavalleria Rusticana,302
Berliner Philharmoniker & Hans Rosbaud,Sibelius: Finlandia,303
Maurizio Pollini,Beethoven Piano Sonatas: Moonlight & Pastorale,304
Gustav Mahler,Great Recordings of the Century - Mahler: Das Lied von der Erde,305
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Elgar: Cello Concerto & Vaughan Williams: Fantasias,306
Edo de Waart & San Francisco Symphony,"Adams, John: The Chairman Dances",307
Antal Doráti & London Symphony Orchestra,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",308
Choir Of Westminster Abbey & Simon Preston,Palestrina: Missa Papae Marcelli & Allegri: Miserere,309
Michael Tilson Thomas & San Francisco Symphony,Prokofiev: Romeo & Juliet,310
Eugene Ormandy,Strauss: Waltzes,311
Michael Tilson Thomas & San Francisco Symphony,Berlioz: Symphonie Fantastique,312
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Bizet: Carmen Highlights,313
The King's Singers,English Renaissance,314
English Concert & Trevor Pinnock,Handel: Music for the Royal Fireworks (Original Version 1749),315
Berliner Philharmoniker & Herbert Von Karajan,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,316
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",Mozart Gala: Famous Arias,317
Christopher O'Riley,SCRIABIN: Vers la flamme,318
Fretwork,Armada: Music from the Courts of England and Spain,319
Berliner Philharmoniker & Herbert Von Karajan,Mozart: Symphonies Nos. 40 & 41,320
Amy Winehouse,Back to Black,321
Amy Winehouse,Frank,322
Calexico,Carried to Dust (Bonus Track Version),323
Otto Klemperer & Philharmonia Orchestra,Beethoven: Symphony No. 6 'Pastoral' Etc.,324
Yehudi Menuhin,Bartok: Violin & Viola Concertos,325
Philharmonia Orchestra & Sir Neville Marriner,Mendelssohn: A Midsummer Night's Dream,326
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Bach: Orchestral Suites Nos. 1 - 4,327
Les Arts Florissants & William Christie,"Charpentier: Divertissements, Airs & Concerts",328
The 12 Cellists of The Berlin Philharmonic,South American Getaway,329
Adrian Leaper & Doreen de Feis,Górecki: Symphony No. 3,330
"Roger Norrington, London Classical Players",Purcell: The Fairy Queen,331
Charles Dutoit & L'Orchestre Symphonique de Montréal,The Ultimate Relexation Album,332
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Purcell: Music for the Queen Mary,333
Kent Nagano and Orchestre de l'Opéra de Lyon,Weill: The Seven Deadly Sins,334
Julian Bream,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",335
Berliner Philharmoniker & Herbert Von Karajan,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,336
Martin Roscoe,"Szymanowski: Piano Works, Vol. 1",337
Göteborgs Symfoniker & Neeme Järvi,Nielsen: The Six Symphonies,338
Itzhak Perlman,Great Recordings of the Century: Paganini's 24 Caprices,339
Michele Campanella,Liszt - 12 Études D'Execution Transcendante,340
Gerald Moore,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",341
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp","Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",342
Eugene Ormandy,Respighi:Pines of Rome,343
Emerson String Quartet,Schubert: The Late String Quartets & String Quintet (3 CD's),344
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",Monteverdi: L'Orfeo,345
Nash Ensemble,Mozart: Chamber Music,346
Philip Glass Ensemble,Koyaanisqatsi (Soundtrack from the Motion Picture),347
